"","X","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_2","elec_system","pop_choice_2","GDP","occup","vote_eu","pop_att"
"11937",20330,47548,"IE",39,7,1,4,2,2,7,2,2,3,6,2,2,6,4,1,3,7,2,3,3,7,7,1,3,2,3,2,2,8,7,1,0,"Proportional","l",4.802866946,2,1,2
"11938",20331,47549,"IE",59,2,1,6,5,2,1,2,2,7,7,2,1,7,3,9,7,2,3,3,3,7,7,3,2,1,2,2,2,8,6,3,0,"Proportional","l",4.802866946,9,1,2.33333333333333
"11939",20332,47636,"IE",65,6,1,5,1,2,4,1,2,8,4,2,2,6,4,3,6,4,1,3,4,7,8,3,2,2,3,2,3,8,8,1,0,"Proportional","l",4.802866946,1,1,2.66666666666667
"11940",20335,47714,"IE",48,5,1,3,2,2,6,1,2,8,6,1,1,7,7,8,5,7,2,2,3,8,7,1,3,2,3,1,1,8,8,2,0,"Proportional","l",4.802866946,7,1,5.33333333333333
"11941",20336,47725,"IE",67,6,2,5,5,2,4,2,1,5,4,2,3,5,3,3,2,5,1,1,1,8,8,2,3,3,3,2,2,9,8,1,0,"Proportional","l",4.802866946,2,1,3.66666666666667
"11942",20337,47749,"IE",47,7,2,7,2,2,7,2,1,8,8,5,5,4,8,9,7,5,2,2,2,10,9,1,4,4,5,1,1,7,10,2,0,"Proportional","l",4.802866946,3,1,8
"11943",20338,47754,"IE",28,5,1,0,5,2,6,1,2,0,0,1,4,5,5,5,0,10,1,1,1,10,10,2,2,2,2,1,1,7,10,1,1,"Proportional","l",4.802866946,2,1,0.666666666666667
"11944",20339,47772,"IE",31,4,2,2,2,2,3,2,3,5,2,3,4,1,4,5,2,4,2,2,2,6,5,4,3,2,3,1,1,10,3,1,4,"Proportional","l",4.802866946,5,1,2
"11945",20341,47812,"IE",87,1,2,9,3,2,1,2,1,7,9,2,2,7,8,8,9,6,3,3,3,3,6,4,1,1,2,2,4,10,5,2,0,"Proportional","l",4.802866946,9,1,7.66666666666667
"11946",20345,47903,"IE",63,4,2,2,3,2,7,2,1,8,8,1,3,5,10,10,6,7,1,1,1,9,10,2,3,3,4,1,1,10,10,1,0,"Proportional","l",4.802866946,4,1,7.33333333333333
