"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"31",1641,"AT",49,4,2,0,2,2,10,2,3,0,7,1,2,4,2,2,0,8,1,1,1,10,10,1,1,1,2,1,1,7,10,1,0,"Proportional","r",1.550724086,3,1,2
"32",1746,"AT",36,3,2,8,4,2,5,2,3,8,8,1,1,0,4,7,4,10,3,3,3,4,3,4,1,1,3,5,5,7,7,3,4,"Proportional","r",1.550724086,4,1,5.33333333333333
"33",1753,"AT",30,7,2,1,1,2,3,2,1,2,6,1,2,1,6,4,0,7,1,1,1,6,6,2,3,3,2,1,1,4,7,1,0,"Proportional","r",1.550724086,2,1,4
"34",1840,"AT",40,3,2,5,4,2,9,2,2,8,9,2,1,5,3,4,8,6,4,4,4,5,3,4,1,1,1,2,2,9,4,3,3,"Proportional","r",1.550724086,4,2,3.33333333333333
"35",1863,"AT",48,3,2,6,3,2,6,2,2,6,4,2,2,1,2,1,3,3,2,2,2,2,5,1,4,5,2,2,2,9,4,1,0,"Proportional","r",1.550724086,3,1,2.66666666666667
"36",1924,"AT",25,5,1,2,4,2,6,2,2,7,7,2,2,4,4,8,3,6,2,2,2,7,6,3,2,3,3,2,2,5,4,2,0,"Proportional","r",1.550724086,7,1,4
"37",1958,"AT",41,7,2,8,1,2,10,2,1,4,6,2,3,5,7,9,3,3,1,1,1,8,7,2,3,3,2,1,1,9,6,2,0,"Proportional","r",1.550724086,2,2,5
"38",1961,"AT",76,3,2,6,1,2,4,2,2,8,9,4,3,5,7,8,7,4,2,2,2,7,5,2,2,1,4,1,1,10,8,1,0,"Proportional","r",1.550724086,4,1,6.33333333333333
"39",2042,"AT",32,5,2,1,4,2,5,1,1,7,7,2,2,4,3,7,3,7,1,1,1,6,5,2,2,3,3,1,1,7,5,1,0,"Proportional","r",1.550724086,2,1,3.33333333333333
"40",2135,"AT",54,3,2,6,4,2,1,1,3,7,4,1,2,4,5,5,5,7,1,2,2,4,4,4,1,1,2,1,1,8,4,1,0,"Proportional","r",1.550724086,5,1,2.33333333333333
"41",2153,"AT",70,3,2,6,3,2,4,2,3,7,5,2,2,3,6,3,1,3,2,3,3,6,5,2,2,2,2,3,3,10,5,3,0,"Proportional","r",1.550724086,5,2,5.66666666666667
"42",2188,"AT",57,3,1,6,4,2,9,2,1,5,5,2,2,5,3,3,5,5,2,2,2,5,5,3,2,2,3,2,2,8,5,2,0,"Proportional","r",1.550724086,3,1,3.66666666666667
