"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"1445",6204,"BE",31,4,1,0,4,2,4,1,2,6,6,2,2,5,6,6,6,5,2,2,2,6,6,3,2,2,2,1,1,8,5,3,0,"Proportional","r",1.128595725,2,1,5.33333333333333
"1446",6240,"BE",60,4,1,10,4,2,8,2,1,1,3,2,1,2,1,1,2,5,2,2,2,5,7,2,1,2,2,1,1,7,5,1,0,"Proportional","r",1.128595725,3,1,2.33333333333333
"1447",6322,"BE",47,7,2,7,1,1,5,1,2,5,9,3,4,5,6,6,6,5,2,2,2,3,4,3,2,1,4,2,3,7,7,2,4,"Proportional","r",1.128595725,4,1,5
"1448",6344,"BE",28,5,2,5,1,2,6,1,2,6,6,2,1,5,2,3,5,5,1,1,2,6,5,4,3,2,2,3,3,5,5,2,4,"Proportional","r",1.128595725,9,1,4
"1449",6357,"BE",52,6,2,7,3,2,6,2,1,7,8,2,2,4,8,8,6,8,1,1,1,9,9,2,3,2,2,2,2,8,8,1,0,"Proportional","r",1.128595725,2,1,5
"1450",6412,"BE",26,5,2,0,4,2,7,2,1,6,7,2,2,7,7,6,7,7,3,3,2,4,2,4,2,3,3,1,2,3,5,5,0,"Proportional","r",1.128595725,3,1,6
"1451",6476,"BE",50,3,2,4,5,2,6,2,3,1,3,2,3,8,1,6,2,3,2,2,3,2,0,2,2,3,2,1,1,8,6,3,0,"Proportional","r",1.128595725,4,2,1.66666666666667
"1452",6525,"BE",30,7,1,2,3,2,4,2,2,8,4,2,3,5,1,8,2,9,3,2,2,7,5,3,1,3,5,2,2,8,7,2,0,"Proportional","r",1.128595725,2,1,1
"1453",6620,"BE",26,4,1,6,3,2,9,1,1,5,6,2,4,6,3,4,6,5,2,3,3,3,7,3,3,2,3,1,2,6,3,3,0,"Proportional","r",1.128595725,4,1,2.66666666666667
"1454",6658,"BE",24,6,1,1,4,2,7,2,1,3,2,1,2,2,2,6,1,10,1,2,2,7,4,4,1,2,2,1,1,9,8,1,0,"Proportional","r",1.128595725,9,1,0.333333333333333
"1455",6695,"BE",71,2,2,7,4,2,5,1,2,5,5,1,3,5,1,0,5,5,3,3,3,2,5,3,1,1,4,1,1,6,8,1,0,"Proportional","r",1.128595725,7,1,2.33333333333333
"1456",6706,"BE",66,4,1,6,4,2,6,2,2,3,4,3,2,1,4,5,3,2,2,3,3,5,6,2,2,2,2,1,1,9,6,3,0,"Proportional","r",1.128595725,2,1,5.66666666666667
"1457",7061,"BE",51,6,2,4,3,2,10,2,2,7,5,2,4,3,6,5,6,5,1,1,1,6,6,3,3,3,5,1,1,5,8,1,0,"Proportional","r",1.128595725,3,1,4.33333333333333
"1458",7183,"BE",57,6,1,0,4,2,7,1,2,6,9,2,2,6,6,8,8,7,2,2,2,8,5,2,3,2,5,2,1,8,9,1,0,"Proportional","r",1.128595725,2,1,6
"1459",7326,"BE",54,4,2,1,4,2,7,2,1,6,7,3,4,8,5,6,6,10,2,2,2,5,7,3,2,1,2,1,1,5,6,2,0,"Proportional","r",1.128595725,9,1,5.66666666666667
"1460",7379,"BE",31,7,2,1,1,2,9,2,1,6,8,4,4,8,7,8,7,8,1,2,2,7,7,3,3,3,4,1,2,8,7,2,0,"Proportional","r",1.128595725,2,1,7
"1461",7403,"BE",35,6,1,5,3,2,2,1,2,5,5,2,3,2,5,4,2,7,3,3,3,7,6,2,1,2,3,2,5,9,8,2,0,"Proportional","r",1.128595725,9,1,3.33333333333333
"1462",7425,"BE",79,3,2,10,4,2,3,2,2,6,6,2,1,6,3,5,5,4,2,2,2,4,4,3,2,2,4,2,5,8,7,2,0,"Proportional","r",1.128595725,7,1,4
"1463",7657,"BE",71,4,1,2,4,2,6,2,1,4,6,2,4,6,5,4,6,5,2,2,2,8,5,3,2,2,3,1,4,8,4,2,0,"Proportional","r",1.128595725,7,1,4
"1464",7674,"BE",41,6,1,4,4,2,10,1,2,5,7,3,4,8,7,4,5,6,2,3,3,5,3,1,2,3,3,1,1,4,5,1,0,"Proportional","r",1.128595725,3,1,5.66666666666667
"1465",7709,"BE",50,3,1,0,4,2,10,2,1,0,8,5,4,10,3,3,0,3,2,4,4,2,3,2,1,1,2,1,2,7,2,2,4,"Proportional","r",1.128595725,3,1,2.33333333333333
"1466",7760,"BE",40,7,2,5,2,2,9,2,1,6,6,3,3,6,7,7,6,8,2,2,2,7,8,2,4,3,4,2,3,8,9,2,0,"Proportional","r",1.128595725,2,1,6
"1467",7809,"BE",51,4,2,2,4,2,6,2,2,5,7,1,3,4,4,4,7,4,1,3,2,3,3,2,2,2,2,1,2,7,4,2,0,"Proportional","r",1.128595725,8,1,5.33333333333333
"1468",7845,"BE",28,5,2,7,5,2,8,2,1,6,8,2,2,5,8,6,8,7,2,2,2,7,3,3,2,3,3,1,1,8,8,2,0,"Proportional","r",1.128595725,9,1,7.33333333333333
"1469",7890,"BE",43,6,1,5,4,2,8,1,2,3,5,2,4,5,4,6,3,4,2,3,4,6,5,3,1,2,2,1,3,5,7,2,0,"Proportional","r",1.128595725,2,2,2.33333333333333
"1470",7914,"BE",65,7,1,6,4,2,10,2,1,4,5,2,2,7,7,8,5,5,3,3,3,5,5,2,1,3,1,2,5,8,7,4,0,"Proportional","r",1.128595725,2,1,6.66666666666667
"1471",7937,"BE",75,1,1,8,4,2,4,2,1,6,7,1,1,5,2,2,5,4,2,2,2,4,3,3,3,3,3,1,1,8,5,1,0,"Proportional","r",1.128595725,8,1,3.33333333333333
"1472",7991,"BE",25,3,1,0,4,2,5,2,2,8,5,2,2,5,5,4,5,2,2,2,2,5,5,4,3,3,3,2,1,8,8,1,0,"Proportional","r",1.128595725,6,1,5.66666666666667
"1473",8048,"BE",37,6,2,8,3,2,5,1,2,5,5,2,2,2,5,5,3,4,2,2,2,3,5,3,3,2,3,2,2,7,5,3,0,"Proportional","r",1.128595725,3,1,4
"1474",8125,"BE",76,1,2,8,4,2,3,2,2,3,6,1,2,7,3,5,4,5,3,2,3,2,2,3,4,2,3,1,4,6,3,5,0,"Proportional","r",1.128595725,8,1,4.66666666666667
"1475",8126,"BE",48,7,2,7,4,2,10,2,1,8,7,2,2,7,7,8,7,5,2,2,2,5,5,2,3,3,4,1,2,7,7,2,0,"Proportional","r",1.128595725,2,1,6
"1476",8130,"BE",68,2,1,10,1,2,3,1,2,5,5,2,2,5,5,7,6,5,1,1,1,5,7,3,3,1,1,2,5,8,7,2,4,"Proportional","r",1.128595725,5,1,5.66666666666667
"1477",8219,"BE",50,5,1,0,4,2,5,2,1,0,5,1,1,10,0,5,1,0,2,2,2,5,2,1,2,1,1,1,4,0,1,1,3,"Proportional","r",1.128595725,8,2,0
"1478",8241,"BE",37,3,1,3,4,2,1,2,3,5,6,2,2,6,7,8,5,5,1,2,3,5,4,4,2,2,3,2,1,5,2,1,0,"Proportional","r",1.128595725,5,1,6.66666666666667
"1479",8265,"BE",69,2,2,6,4,2,8,2,1,7,7,4,4,7,5,3,7,7,2,2,2,8,5,2,2,2,4,2,2,4,7,2,0,"Proportional","r",1.128595725,9,1,4.66666666666667
"1480",8428,"BE",75,6,2,10,1,2,2,1,2,5,5,2,2,3,7,8,5,5,2,2,2,6,7,1,2,2,4,2,2,8,7,2,0,"Proportional","r",1.128595725,2,1,5
"1481",8492,"BE",41,4,2,5,4,2,6,1,2,5,9,2,2,6,3,4,4,2,2,3,3,5,5,3,2,2,3,1,1,7,6,2,0,"Proportional","r",1.128595725,3,1,3
"1482",8611,"BE",41,7,2,0,3,2,8,2,2,4,5,2,2,5,4,4,4,5,2,2,2,5,5,3,2,1,3,2,2,8,5,3,0,"Proportional","r",1.128595725,2,1,3.66666666666667
"1483",8724,"BE",26,7,1,5,4,2,9,2,1,4,6,2,2,1,3,3,5,7,3,4,3,6,4,3,2,2,2,2,2,7,4,2,4,"Proportional","r",1.128595725,7,1,3
"1484",8735,"BE",26,7,1,1,1,2,7,2,1,8,7,1,4,8,6,7,6,3,2,2,2,3,8,1,4,4,4,1,1,5,5,2,0,"Proportional","r",1.128595725,3,1,6.66666666666667
"1485",8763,"BE",61,6,2,5,3,2,7,2,1,8,5,4,5,6,3,3,6,1,3,3,3,5,5,3,3,3,4,2,5,8,8,2,0,"Proportional","r",1.128595725,3,1,5.33333333333333
"1486",8793,"BE",49,6,2,6,4,2,9,2,2,5,5,2,3,7,6,5,5,7,2,2,2,5,7,3,1,3,3,2,2,8,6,3,0,"Proportional","r",1.128595725,2,1,5.66666666666667
"1487",8858,"BE",33,3,1,5,4,2,3,1,2,7,8,1,2,7,7,5,8,2,4,4,4,5,6,4,1,1,3,1,1,8,5,2,0,"Proportional","r",1.128595725,9,1,5
"1488",8877,"BE",66,7,1,8,3,2,10,2,1,6,6,3,3,6,6,5,5,8,2,2,2,7,5,3,3,3,2,1,2,7,6,2,0,"Proportional","r",1.128595725,2,1,6
"1489",8943,"BE",20,4,2,9,3,2,1,2,1,6,7,2,4,6,7,7,5,7,2,2,2,6,7,3,3,5,2,2,2,4,8,2,4,"Proportional","r",1.128595725,5,1,5.33333333333333
"1490",9016,"BE",59,6,2,3,4,2,7,2,2,5,4,2,3,3,6,6,4,6,1,1,2,5,5,2,3,2,3,2,2,7,7,2,0,"Proportional","r",1.128595725,3,1,5.66666666666667
"1491",9138,"BE",41,6,1,5,3,2,7,2,1,8,7,2,2,5,8,6,7,8,2,3,3,6,5,1,3,3,4,1,2,9,7,4,0,"Proportional","r",1.128595725,3,1,7.33333333333333
"1492",9152,"BE",64,6,2,5,3,2,5,2,2,2,2,2,1,5,0,0,2,5,2,2,2,5,5,4,1,1,1,2,4,0,2,2,0,"Proportional","r",1.128595725,9,1,0.333333333333333
"1493",9200,"BE",44,7,2,0,3,2,9,2,1,7,7,1,1,3,4,5,4,9,1,1,1,8,6,1,3,3,3,1,1,8,8,2,0,"Proportional","r",1.128595725,2,1,6.33333333333333
"1494",9302,"BE",25,7,2,6,3,2,5,2,2,4,6,2,4,4,5,5,4,6,2,2,2,5,5,2,2,2,3,1,1,7,5,3,0,"Proportional","r",1.128595725,2,1,3.33333333333333
"1495",9382,"BE",34,6,1,1,3,2,6,1,2,4,4,2,2,1,6,5,4,5,2,2,2,5,5,2,1,1,2,2,2,9,7,5,0,"Proportional","r",1.128595725,2,1,6
"1496",9408,"BE",65,2,2,5,4,2,6,1,1,7,7,2,4,4,5,5,6,6,2,2,3,5,7,3,2,1,3,1,4,7,6,3,0,"Proportional","r",1.128595725,8,1,5
"1497",9448,"BE",38,3,1,1,4,2,7,2,2,6,4,2,2,5,4,4,4,3,2,2,2,3,5,4,1,2,2,1,2,3,7,3,0,"Proportional","r",1.128595725,3,1,1
"1498",9574,"BE",61,3,2,8,4,2,5,2,2,7,8,4,2,7,5,5,7,5,2,2,2,6,5,3,3,2,3,2,2,7,6,2,0,"Proportional","r",1.128595725,9,1,6.33333333333333
"1499",9591,"BE",69,1,2,9,4,2,7,1,1,6,7,2,3,5,6,7,6,6,2,2,2,6,4,3,3,2,3,2,2,7,5,2,0,"Proportional","r",1.128595725,8,1,5.66666666666667
"1500",9659,"BE",50,5,1,5,1,2,4,2,3,2,4,2,2,2,5,6,2,5,3,3,3,3,4,3,2,2,4,1,1,6,2,2,0,"Proportional","r",1.128595725,5,1,2.66666666666667
"1501",9699,"BE",56,3,2,7,4,2,7,2,2,7,8,1,3,6,6,7,6,6,1,1,1,7,8,2,3,2,2,1,1,9,8,3,0,"Proportional","r",1.128595725,3,1,7
"1502",9714,"BE",90,1,1,9,4,1,4,2,1,9,8,2,2,7,4,3,8,2,2,2,2,5,6,2,3,1,3,2,5,9,2,1,0,"Proportional","r",1.128595725,8,1,4.66666666666667
"1503",9764,"BE",80,6,2,0,2,2,5,2,2,6,7,3,2,7,7,7,5,9,1,2,1,7,5,2,2,3,2,1,3,9,9,2,0,"Proportional","r",1.128595725,1,1,5
"1504",9767,"BE",38,7,1,2,1,2,3,1,4,2,3,2,3,3,6,8,2,10,1,1,1,7,6,2,2,2,2,1,1,5,8,1,4,"Proportional","r",1.128595725,9,1,3
"1505",9916,"BE",26,5,1,2,3,2,4,2,2,4,6,3,2,6,5,5,5,4,2,2,2,4,5,2,2,3,3,2,1,4,4,2,0,"Proportional","r",1.128595725,3,1,5
"1506",9959,"BE",25,2,1,0,1,2,1,1,3,7,6,2,3,4,7,2,6,6,4,4,4,3,3,1,1,1,3,4,4,4,3,2,0,"Proportional","r",1.128595725,6,2,6
"1507",9961,"BE",64,7,2,6,2,2,10,2,1,3,7,4,4,7,5,6,5,9,1,2,2,8,5,1,2,2,3,2,2,9,6,3,0,"Proportional","r",1.128595725,3,1,4.66666666666667
"1508",9990,"BE",30,6,2,2,3,2,8,2,2,7,3,2,4,6,8,8,5,3,2,3,2,3,5,3,4,3,3,2,2,8,4,2,0,"Proportional","r",1.128595725,2,1,7
"1509",9996,"BE",65,6,1,0,3,2,7,2,1,7,6,3,4,7,3,5,4,7,1,2,2,7,5,2,3,2,4,1,1,8,8,2,0,"Proportional","r",1.128595725,2,1,5
"1510",10006,"BE",62,6,2,1,4,2,8,2,1,8,8,2,4,3,5,5,7,7,1,1,1,9,5,2,4,4,5,1,2,7,8,3,0,"Proportional","r",1.128595725,3,1,5
"1511",10033,"BE",63,4,2,0,4,2,10,2,1,9,8,3,4,4,9,8,8,4,1,2,2,6,5,2,3,3,4,1,1,8,7,2,0,"Proportional","r",1.128595725,1,1,7.33333333333333
"1512",10224,"BE",55,2,2,9,4,2,1,1,4,3,3,1,4,3,4,7,3,4,2,2,3,1,5,3,1,2,2,1,3,8,8,1,4,"Proportional","r",1.128595725,9,1,2
"1513",10346,"BE",34,7,1,3,3,2,8,2,2,2,6,2,4,3,2,5,1,8,1,1,2,8,6,2,2,1,3,1,1,5,7,1,0,"Proportional","r",1.128595725,2,1,1.33333333333333
"1514",10369,"BE",20,4,2,3,4,2,8,2,2,8,8,3,4,5,8,9,7,5,2,2,2,5,6,3,2,2,3,1,1,6,7,3,4,"Proportional","r",1.128595725,5,1,8
"1515",10408,"BE",28,4,2,2,3,2,7,1,2,8,8,2,2,6,5,6,6,6,2,2,2,5,7,3,2,2,1,3,4,6,8,2,0,"Proportional","r",1.128595725,1,1,4
"1516",10421,"BE",67,6,2,6,4,2,6,2,1,6,7,1,1,5,5,5,6,6,1,1,1,7,7,3,1,1,4,1,1,6,7,2,4,"Proportional","r",1.128595725,1,1,5.66666666666667
"1517",10511,"BE",83,4,1,8,2,2,7,2,2,7,6,4,2,8,8,8,6,9,3,3,2,5,3,2,2,2,2,4,5,8,3,2,0,"Proportional","r",1.128595725,2,1,4.33333333333333
"1518",10581,"BE",40,2,1,4,4,2,8,2,1,5,6,4,5,6,2,5,6,6,1,2,2,6,5,2,2,2,4,1,2,7,5,2,0,"Proportional","r",1.128595725,7,1,4.66666666666667
"1519",10619,"BE",62,1,2,10,3,2,2,2,2,0,2,1,1,9,0,0,1,1,3,3,3,1,1,4,1,1,1,2,3,3,1,1,0,"Proportional","r",1.128595725,8,2,0
"1520",10697,"BE",34,6,2,0,4,2,7,2,2,2,4,1,1,3,4,4,4,7,1,1,1,9,8,2,2,2,1,1,1,7,10,1,0,"Proportional","r",1.128595725,2,1,2.66666666666667
"1521",10828,"BE",39,7,1,0,3,2,4,2,1,7,7,4,4,3,3,7,5,4,2,3,3,7,5,2,3,3,3,1,2,6,5,2,4,"Proportional","r",1.128595725,2,1,4
"1522",10988,"BE",56,4,1,6,3,2,8,2,2,5,5,1,3,5,2,3,0,5,2,2,3,3,5,3,1,1,2,1,1,9,5,1,0,"Proportional","r",1.128595725,7,1,2
"1523",11086,"BE",84,4,2,3,4,2,4,2,2,4,5,2,1,3,6,7,1,10,2,2,2,6,5,3,1,2,2,1,4,8,4,2,0,"Proportional","r",1.128595725,4,1,1.33333333333333
"1524",11129,"BE",49,7,2,0,4,2,6,1,2,6,8,1,2,2,6,7,5,5,1,1,1,7,7,2,3,2,3,1,1,7,10,1,0,"Proportional","r",1.128595725,4,1,5.66666666666667
"1525",11165,"BE",27,4,2,0,4,2,6,2,2,5,7,2,2,7,7,7,5,4,2,2,2,4,4,4,2,2,4,1,1,1,7,2,0,"Proportional","r",1.128595725,9,1,6
"1526",11173,"BE",26,7,1,6,2,2,9,1,1,8,8,4,2,4,8,8,7,8,2,2,2,5,5,2,3,3,4,1,1,6,7,2,0,"Proportional","r",1.128595725,4,1,7.66666666666667
"1527",11180,"BE",40,7,1,0,1,2,4,1,1,6,7,4,2,6,6,5,5,8,1,1,1,7,6,2,3,3,3,1,1,1,6,2,0,"Proportional","r",1.128595725,2,1,3.66666666666667
"1528",11213,"BE",52,6,1,4,4,2,8,2,2,6,8,3,5,5,5,7,6,3,2,2,2,7,6,3,2,2,3,1,1,4,7,3,0,"Proportional","r",1.128595725,2,1,5.66666666666667
"1529",11296,"BE",55,4,1,10,1,2,2,2,1,8,8,4,1,10,8,9,8,7,2,4,2,10,8,4,2,2,5,5,1,7,7,1,0,"Proportional","r",1.128595725,4,1,10
"1530",11321,"BE",50,3,1,0,1,2,6,2,2,7,8,2,2,7,5,5,8,6,3,3,2,3,3,3,3,2,3,2,3,7,3,2,0,"Proportional","r",1.128595725,8,1,6
"1531",11439,"BE",79,4,2,6,4,2,2,2,4,6,6,3,2,6,6,5,5,5,2,3,3,3,5,4,3,1,2,1,1,8,2,2,0,"Proportional","r",1.128595725,9,1,5.66666666666667
"1532",11484,"BE",27,5,1,8,3,2,10,2,1,6,6,2,5,3,8,8,6,5,1,1,1,6,5,3,1,2,3,1,1,7,7,1,3,"Proportional","r",1.128595725,1,1,5
"1533",11524,"BE",42,5,2,6,4,2,6,1,1,6,7,2,2,6,7,7,6,4,2,2,2,5,4,3,2,3,4,1,1,8,4,1,0,"Proportional","r",1.128595725,4,1,6.33333333333333
"1534",11575,"BE",29,6,2,8,3,2,4,2,1,6,7,2,4,3,6,4,5,5,2,2,1,7,5,3,2,2,3,2,2,5,4,1,0,"Proportional","r",1.128595725,9,1,4.33333333333333
"1535",11617,"BE",56,4,2,0,3,2,7,2,1,8,7,2,2,1,8,8,2,4,2,2,2,8,8,1,2,3,3,2,2,8,8,1,0,"Proportional","r",1.128595725,3,1,7
"1536",12104,"BE",63,6,2,2,4,2,5,1,1,1,5,1,4,5,2,4,5,9,2,2,4,3,6,4,1,2,2,1,1,6,3,1,0,"Proportional","r",1.128595725,2,1,2
"1537",12316,"BE",69,7,1,0,3,2,3,2,2,7,4,1,1,0,0,6,0,0,1,1,1,9,8,1,2,1,4,1,1,8,8,1,0,"Proportional","r",1.128595725,2,2,0
"1538",12328,"BE",45,7,1,3,4,2,8,1,1,8,7,2,2,6,5,6,7,6,2,2,2,7,7,1,3,4,3,1,1,8,7,2,0,"Proportional","r",1.128595725,2,1,6.33333333333333
"1539",12433,"BE",54,4,1,3,4,2,4,2,2,10,9,2,2,9,9,10,7,9,2,2,2,8,4,3,4,4,4,2,3,8,6,2,0,"Proportional","r",1.128595725,8,1,8
"1540",12598,"BE",49,2,1,3,2,2,5,2,2,2,6,1,4,10,0,5,7,1,3,4,4,0,2,3,1,2,2,1,1,9,5,1,0,"Proportional","r",1.128595725,3,2,1.66666666666667
"1541",12612,"BE",63,7,1,7,4,2,5,1,2,7,8,2,4,3,6,6,4,8,1,1,1,5,5,2,4,3,3,1,3,6,7,3,0,"Proportional","r",1.128595725,1,1,5.33333333333333
"1542",12642,"BE",37,7,1,0,3,2,6,1,1,7,8,2,4,4,6,9,6,7,2,2,2,7,5,2,3,4,3,2,1,8,5,2,0,"Proportional","r",1.128595725,2,1,7.33333333333333
"1543",12755,"BE",80,2,2,7,1,2,2,2,2,6,7,2,2,9,7,4,6,8,3,4,3,4,5,2,2,1,3,2,2,8,5,1,0,"Proportional","r",1.128595725,4,1,6.33333333333333
"1544",12772,"BE",24,5,1,0,4,2,10,2,2,6,8,2,2,5,6,6,6,8,2,2,2,8,6,4,3,2,3,2,2,4,5,3,0,"Proportional","r",1.128595725,3,1,5.33333333333333
"1545",12898,"BE",29,6,1,6,4,2,8,2,1,6,7,3,2,6,7,8,6,9,1,1,1,6,5,2,3,3,4,1,2,4,7,2,0,"Proportional","r",1.128595725,2,1,6
"1546",12998,"BE",63,2,1,7,4,2,3,2,2,4,4,2,1,5,2,2,5,5,3,4,4,2,1,3,3,1,3,1,1,7,6,2,0,"Proportional","r",1.128595725,7,2,3.66666666666667
"1547",13007,"BE",53,2,2,7,3,2,6,1,2,5,5,2,2,7,5,5,5,6,2,2,2,5,5,2,3,2,3,2,5,7,7,2,0,"Proportional","r",1.128595725,9,1,3.66666666666667
"1548",13061,"BE",66,4,2,7,4,2,6,2,2,6,6,2,2,6,6,4,6,6,2,2,2,5,7,3,2,2,2,1,1,7,5,2,0,"Proportional","r",1.128595725,2,1,4.66666666666667
"1549",13082,"BE",66,2,2,2,4,2,6,2,1,3,7,2,5,9,3,5,6,7,3,3,4,3,3,1,2,2,4,2,2,7,4,1,0,"Proportional","r",1.128595725,7,1,5.33333333333333
"1550",13143,"BE",48,4,2,9,5,2,4,2,2,4,4,2,2,5,3,4,4,7,2,2,2,5,6,3,2,2,4,1,1,5,5,2,0,"Proportional","r",1.128595725,1,1,3
"1551",13225,"BE",31,6,2,8,3,2,4,2,2,7,8,2,4,5,7,7,7,7,1,2,2,7,7,3,3,3,3,1,1,7,7,2,4,"Proportional","r",1.128595725,3,1,6.66666666666667
"1552",13337,"BE",58,6,1,6,4,2,9,2,1,6,7,5,5,7,3,7,5,8,1,2,2,7,2,3,2,3,3,1,4,8,6,1,0,"Proportional","r",1.128595725,3,1,4
"1553",13389,"BE",52,4,1,8,4,2,9,1,2,9,7,1,1,5,7,7,9,7,2,2,2,7,7,2,3,2,4,1,1,9,8,1,0,"Proportional","r",1.128595725,2,1,7.33333333333333
"1554",13423,"BE",62,6,1,0,5,2,4,2,2,5,7,1,4,3,4,5,4,8,1,2,2,6,6,2,2,3,3,1,2,8,8,2,0,"Proportional","r",1.128595725,2,1,5.33333333333333
"1555",13485,"BE",28,7,2,1,3,2,8,2,1,7,6,1,4,4,5,7,4,9,1,1,1,7,6,1,3,3,3,1,1,5,8,2,0,"Proportional","r",1.128595725,2,1,5.66666666666667
"1556",13490,"BE",56,4,1,10,4,2,8,1,1,6,7,3,2,9,6,6,6,1,2,2,4,0,4,2,2,3,5,2,4,10,7,2,0,"Proportional","r",1.128595725,1,1,5
"1557",13648,"BE",33,2,1,3,3,2,6,1,3,4,6,2,2,3,6,7,4,3,2,2,2,6,6,3,1,1,3,2,3,7,3,2,0,"Proportional","r",1.128595725,9,1,5.33333333333333
"1558",13749,"BE",40,7,1,5,4,2,8,2,2,6,7,1,2,2,6,5,5,7,1,1,1,7,8,1,3,3,3,1,1,8,8,3,0,"Proportional","r",1.128595725,2,1,5.66666666666667
"1559",13869,"BE",28,6,1,1,4,2,6,2,1,5,6,2,2,6,6,6,6,8,2,3,3,7,3,2,2,2,4,1,1,3,8,1,0,"Proportional","r",1.128595725,2,1,5
"1560",13870,"BE",40,4,2,2,3,2,5,2,3,6,6,1,2,5,4,4,5,7,3,4,3,2,3,2,3,2,3,1,1,5,3,4,0,"Proportional","r",1.128595725,9,1,4.66666666666667
"1561",13947,"BE",44,7,1,8,4,2,10,2,1,8,8,1,1,7,8,7,6,5,1,1,1,7,5,1,3,3,4,1,1,6,9,1,0,"Proportional","r",1.128595725,2,1,6
"1562",14022,"BE",70,4,1,2,4,2,4,2,2,6,4,1,2,6,0,7,3,2,2,3,4,5,5,3,1,1,4,1,1,6,7,1,0,"Proportional","r",1.128595725,7,2,3
"1563",14046,"BE",27,6,1,0,4,2,8,2,2,7,2,5,3,5,5,5,2,3,2,2,2,2,5,3,3,4,4,1,1,10,8,1,0,"Proportional","r",1.128595725,6,1,5
"1564",14120,"BE",46,6,1,0,5,2,9,2,1,8,6,1,2,1,8,6,2,9,1,1,1,8,5,1,4,5,4,1,1,8,8,1,0,"Proportional","r",1.128595725,2,1,8
"1565",14149,"BE",46,7,1,2,2,2,5,2,2,5,5,2,4,7,7,6,7,9,2,2,2,7,3,2,4,3,4,2,4,2,7,1,0,"Proportional","r",1.128595725,2,1,6.66666666666667
"1566",14300,"BE",67,1,2,7,3,2,8,1,2,6,6,2,2,4,5,5,6,5,2,3,3,5,5,3,2,1,3,2,3,8,4,2,0,"Proportional","r",1.128595725,7,1,4.33333333333333
"1567",14454,"BE",31,5,1,6,1,2,6,1,2,7,5,2,2,3,7,7,6,8,2,2,2,6,6,3,3,2,2,2,2,6,8,2,0,"Proportional","r",1.128595725,7,1,5
"1568",14478,"BE",26,6,1,0,4,2,9,2,2,8,8,4,5,8,6,6,4,5,1,1,1,2,4,1,2,2,3,1,2,6,8,2,0,"Proportional","r",1.128595725,4,1,3
"1569",14609,"BE",86,2,2,10,4,1,4,2,2,5,5,3,3,4,9,9,7,9,1,1,1,7,10,2,3,1,5,2,2,7,9,1,4,"Proportional","r",1.128595725,4,1,5
"1570",14620,"BE",42,6,2,8,3,1,4,1,2,6,5,3,2,5,4,4,5,6,2,2,2,5,7,3,3,1,3,2,5,7,8,2,0,"Proportional","r",1.128595725,9,1,3.66666666666667
"1571",14779,"BE",66,4,1,10,1,2,7,2,1,3,6,3,4,4,7,8,5,7,1,2,2,4,5,1,2,2,2,2,2,9,8,2,0,"Proportional","r",1.128595725,3,1,1.66666666666667
"1572",14852,"BE",63,6,1,4,4,2,8,2,1,7,6,2,4,5,6,7,5,7,2,2,2,6,5,1,3,2,4,1,2,6,8,1,0,"Proportional","r",1.128595725,2,1,6
"1573",14930,"BE",69,2,2,10,1,2,2,1,4,5,5,2,2,4,5,5,5,4,2,2,2,6,6,3,2,2,3,2,4,8,7,2,0,"Proportional","r",1.128595725,3,1,5.66666666666667
"1574",15078,"BE",60,2,1,0,5,2,6,2,1,3,7,3,1,8,1,2,3,8,1,1,1,8,3,4,1,1,2,1,1,0,5,2,0,"Proportional","r",1.128595725,3,1,2
"1575",15134,"BE",54,6,1,0,3,2,10,2,1,6,7,1,3,4,7,7,6,10,2,2,2,6,7,2,2,2,4,1,1,8,7,2,0,"Proportional","r",1.128595725,2,1,6
"1576",15144,"BE",73,3,1,0,1,2,3,2,2,4,4,2,2,4,0,3,2,2,2,2,2,6,5,1,2,2,3,1,2,7,8,1,0,"Proportional","r",1.128595725,2,1,4.66666666666667
"1577",15150,"BE",79,2,1,5,3,2,2,2,3,2,1,1,2,5,1,2,0,5,2,3,3,3,1,3,1,1,2,3,4,10,1,1,0,"Proportional","r",1.128595725,7,2,0.333333333333333
"1578",15209,"BE",48,2,2,6,2,2,2,1,3,4,3,1,4,4,3,3,5,5,1,3,2,3,4,3,1,2,3,2,4,8,4,4,0,"Proportional","r",1.128595725,9,2,3.33333333333333
"1579",15309,"BE",48,5,2,0,4,2,3,1,2,3,3,1,2,7,3,3,3,7,2,2,2,5,6,2,2,2,2,1,1,6,5,2,0,"Proportional","r",1.128595725,7,1,3
"1580",15541,"BE",59,6,1,10,4,2,9,2,1,7,7,2,2,8,5,6,8,9,2,2,2,5,5,1,3,3,3,2,2,7,4,2,0,"Proportional","r",1.128595725,3,1,3
"1581",15566,"BE",33,6,2,7,4,2,2,1,1,3,8,3,4,6,5,5,4,5,2,2,2,5,7,3,2,2,3,2,2,0,7,3,0,"Proportional","r",1.128595725,2,1,6
